               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.070471,            0.031704,            0.026206,              0.1849,                 0.5,             0.34253,             0.23721,            0.076969,            0.022287,            0.026785,            0.033433,           0.0064328,           0.0064328
                  37,            0.062209,            0.040563,            0.023439,             0.23205,             0.66667,             0.49009,             0.29742,            0.058986,            0.023495,            0.026686,            0.031584,           0.0065842,           0.0065842
                  38,            0.060773,            0.042324,            0.024126,             0.27998,                 0.5,             0.49963,              0.1483,            0.067948,             0.02227,            0.026115,            0.029734,           0.0067344,           0.0067344
                  39,            0.061741,            0.027972,            0.024632,             0.27998,                 0.5,             0.49963,              0.1483,            0.067948,             0.02227,            0.026115,            0.027883,           0.0068833,           0.0068833
                  40,            0.062994,             0.03461,            0.022782,             0.21248,             0.83333,             0.58398,             0.25625,            0.064995,            0.022362,            0.025895,            0.026031,           0.0070308,           0.0070308
                  41,            0.061977,            0.036609,            0.023185,             0.69907,             0.16667,               0.369,             0.11895,            0.071726,            0.022049,            0.025844,            0.024177,            0.007177,            0.007177
                  42,            0.064388,            0.038943,            0.024607,             0.69907,             0.16667,               0.369,             0.11895,            0.071726,            0.022049,            0.025844,            0.022322,           0.0073219,           0.0073219
                  43,            0.061555,            0.030812,            0.023624,             0.69887,             0.33333,             0.43565,             0.10623,            0.076148,            0.020884,            0.025239,            0.020465,           0.0074655,           0.0074655
                  44,            0.066924,            0.033025,            0.021711,             0.69887,             0.33333,             0.43565,             0.10623,            0.076148,            0.020884,            0.025239,            0.018608,           0.0076077,           0.0076077
                  45,            0.071545,            0.036494,            0.022022,            0.099907,             0.33333,             0.21938,            0.073702,            0.059894,            0.022442,            0.025193,            0.016749,           0.0077486,           0.0077486
                  46,            0.073953,            0.026853,            0.024115,            0.099907,             0.33333,             0.21938,            0.073702,            0.059894,            0.022442,            0.025193,            0.014888,           0.0078883,           0.0078883
                  47,            0.065212,            0.033415,            0.022072,            0.096181,             0.33333,             0.31976,             0.09558,            0.056107,            0.021815,            0.024779,            0.013027,           0.0080266,           0.0080266
                  48,            0.059185,            0.036651,              0.0229,            0.096181,             0.33333,             0.31976,             0.09558,            0.056107,            0.021815,            0.024779,            0.011164,           0.0081635,           0.0081635
                  49,            0.051777,            0.036126,            0.024483,             0.64677,             0.33333,             0.40285,             0.14405,            0.053432,            0.022227,            0.024282,           0.0092992,           0.0082992,           0.0082992
                  50,              0.0501,            0.034181,            0.023412,             0.64677,             0.33333,             0.40285,             0.14405,            0.053432,            0.022227,            0.024282,             0.00835,             0.00835,             0.00835
                  51,            0.051808,            0.034212,             0.02236,             0.29517,                 0.5,             0.49031,             0.16541,             0.06331,            0.021253,            0.023694,             0.00835,             0.00835,             0.00835
                  52,            0.057339,            0.040998,            0.020482,             0.29517,                 0.5,             0.49031,             0.16541,             0.06331,            0.021253,            0.023694,            0.008317,            0.008317,            0.008317
                  53,            0.055769,            0.029896,            0.020249,              0.2902,                 0.5,             0.48322,             0.17494,            0.055391,            0.022123,            0.023242,            0.008284,            0.008284,            0.008284
                  54,            0.055732,            0.039715,            0.019651,              0.2902,                 0.5,             0.48322,             0.17494,            0.055391,            0.022123,            0.023242,            0.008251,            0.008251,            0.008251
                  55,            0.058409,            0.037052,            0.018938,             0.93802,             0.16667,              0.4734,             0.10564,            0.058868,            0.021156,             0.02231,            0.008218,            0.008218,            0.008218
